,train_min_loss,train_min_acc,train_min_epoch,val_min_loss,val_min_acc,val_min_epoch,test_loss,test_acc,test_epoch,test_target_object,test_type,model
38,0.000357888380936468,1.0,11,0.000688345668355136,1.0,11,0.08838003315031528,0.967578125,11,RubberDuck,target_object,resnext-imagenet
39,0.00036280276754221296,1.0,10,0.0006830126169786256,1.0,9,0.1225071634631604,0.951171875,9,Teddy,target_object,resnext-imagenet
40,0.8222989220864216,0.6412425889328063,17,0.8090954210077014,0.6268721180302756,12,0.8193398505449295,0.61953125,12,BeachBall,target_object,resnext-random
41,0.8100236967618286,0.6606966403162056,17,0.8106508084705898,0.674269152539117,12,0.8510811030864716,0.611328125,12,Knight,target_object,resnext-random
42,0.7665986611909075,0.6785449604743083,24,0.7565852701663971,0.6832877291100365,19,0.8626535058021545,0.6015625,19,Lego,target_object,resnext-random
43,0.6768815152258741,0.7288784584980237,50,0.6468048968485424,0.742997550538608,46,0.7001148000359535,0.6578125,46,Pineapple,target_object,resnext-random
44,0.8237826466089181,0.6472949604743083,16,0.8341001038040433,0.6670146882534027,11,0.8308010503649712,0.68046875,11,PingPong,target_object,resnext-random
45,0.6912715085174727,0.7253582015810277,39,0.6750745581729072,0.7334749421903065,34,0.7885838195681572,0.625390625,34,Robot,target_object,resnext-random
46,0.6765152962782638,0.7311635375494071,55,0.6591727031128747,0.739019295998982,50,0.6401970371603966,0.773046875,50,RubberDuck,target_object,resnext-random
47,0.846253923041076,0.6373517786561265,14,0.8665665281670434,0.6592561921903065,9,0.8788948252797126,0.62578125,9,Teddy,target_object,resnext-random
48,0.0003128743183580752,1.0,17,0.0003155528519138378,1.0,17,0.3636284813284874,0.901171875,17,BeachBall,target_object,resnext-saycam(S)-s
49,0.0004653940132441572,1.0,15,0.0005190341380512109,1.0,15,0.012339714250992983,0.99765625,15,Knight,target_object,resnext-saycam(S)-s
50,0.00033717683654248975,1.0,17,0.000318583963754853,1.0,17,0.008828546866425313,0.998046875,17,Lego,target_object,resnext-saycam(S)-s
51,0.0006077165448572947,1.0,13,0.0006781426486018713,1.0,13,0.056865154148545115,0.973828125,13,Pineapple,target_object,resnext-saycam(S)-s
52,0.0005117369677205184,1.0,14,0.0006561774872742328,1.0,13,0.49744713082909586,0.83515625,13,PingPong,target_object,resnext-saycam(S)-s
53,0.0004263599643337894,1.0,15,0.0004177644576494848,1.0,15,0.16778792617842556,0.919140625,15,Robot,target_object,resnext-saycam(S)-s
54,0.0007872389200922489,1.0,12,0.0009419205328283299,1.0,12,0.009599249096936546,0.999609375,12,RubberDuck,target_object,resnext-saycam(S)-s
55,0.0006169213057751491,1.0,13,0.000660899628461006,1.0,13,0.020873432647204027,0.99375,13,Teddy,target_object,resnext-saycam(S)-s
56,0.0004697517111859277,1.0,13,0.00048265693944163753,1.0,13,0.04075935722794384,0.98359375,13,BeachBall,target_object,resnext-saycam(S)-h
57,0.00046215812402907136,1.0,11,0.0004747896205766925,1.0,11,0.0025829635531408714,1.0,11,Knight,target_object,resnext-saycam(S)-h
58,0.00031118156256284397,1.0,13,0.00035216168388225403,1.0,13,0.044863405334763226,0.9875,13,Lego,target_object,resnext-saycam(S)-h
59,0.00023591184990688527,1.0,16,0.0002413681938508359,1.0,16,0.005634976764849853,0.9984375,16,Pineapple,target_object,resnext-saycam(S)-h
60,0.0005305940003777125,1.0,11,0.0005465569748983918,1.0,11,0.026330054516438394,0.9953125,11,PingPong,target_object,resnext-saycam(S)-h
61,0.0003210291581033046,1.0,15,0.0003311030642570196,1.0,15,0.39372655376791954,0.87265625,15,Robot,target_object,resnext-saycam(S)-h
62,0.0005874489352963828,1.0,11,0.0005464527644757514,1.0,11,0.008923003711970523,0.997265625,11,RubberDuck,target_object,resnext-saycam(S)-h
63,0.0003781254223633778,1.0,12,0.0003799406237833734,1.0,12,0.04063799357973039,0.983203125,12,Teddy,target_object,resnext-saycam(S)-h
64,0.0003380170714900656,1.0,16,0.00042577665928027794,1.0,15,0.1889767793007195,0.928125,15,BeachBall,target_object,resnext-saycam(S)-v
65,0.0002489154005571066,1.0,16,0.00026591061656030694,1.0,16,0.03994430664461106,0.98828125,16,Knight,target_object,resnext-saycam(S)-v
66,0.00037301072351917026,1.0,16,0.00043667256977641955,1.0,16,0.09010588536038995,0.9578125,16,Lego,target_object,resnext-saycam(S)-v
67,0.00032714793184567833,1.0,15,0.00036981059513761593,1.0,15,0.040556783648207785,0.98359375,15,Pineapple,target_object,resnext-saycam(S)-v
68,0.00024153658743577793,1.0,16,0.0002923524511321115,1.0,16,0.15305468682199716,0.92578125,16,PingPong,target_object,resnext-saycam(S)-v
69,0.00040160022347738965,1.0,16,0.00044667967462633636,1.0,16,0.15843024365603925,0.930078125,16,Robot,target_object,resnext-saycam(S)-v
