,model,example_index,configuration_index,reference_object,target_object,containment_high_containment_cos,containment_behind_cos,containment_support_cos,high_containment_behind_cos,high_containment_support_cos,behind_support_cos
608,resnext-saycam(S),128,8,Basket,BeachBall,0.5671911239624023,0.6290361285209656,0.647661566734314,0.8115477561950684,0.8075986504554749,0.9019672870635986
609,resnext-saycam(S),129,8,Basket,Knight,0.6035766005516052,0.6647652387619019,0.6149242520332336,0.8583735823631287,0.7651781439781189,0.8712257146835327
610,resnext-saycam(S),130,8,Basket,Lego,0.6700499057769775,0.6951823234558105,0.7139795422554016,0.9042099714279175,0.7887835502624512,0.8912324905395508
611,resnext-saycam(S),131,8,Basket,Pineapple,0.5495412945747375,0.5723021030426025,0.537157416343689,0.8050663471221924,0.720526397228241,0.8612996339797974
612,resnext-saycam(S),132,8,Basket,Robot,0.5945685505867004,0.5902185440063477,0.5871471762657166,0.7955008745193481,0.7389464974403381,0.8319133520126343
613,resnext-saycam(S),133,8,Basket,RubberDuck,0.6123844981193542,0.6166684031486511,0.5660829544067383,0.8317712545394897,0.7256584167480469,0.8463514447212219
614,resnext-saycam(S),134,8,Basket,Teddy,0.6060394644737244,0.6792830228805542,0.6474791169166565,0.7337815165519714,0.7316955924034119,0.8972364664077759
615,resnext-saycam(S),135,8,Basket,Truck,0.6575292348861694,0.6841006278991699,0.5435213446617126,0.8933796286582947,0.7210330367088318,0.7490233182907104
616,resnext-saycam(S),136,8,WoodenBasket,BeachBall,0.5420261025428772,0.565570056438446,0.5896924138069153,0.7830035090446472,0.7879928946495056,0.840426504611969
617,resnext-saycam(S),137,8,WoodenBasket,Knight,0.6043393015861511,0.6458984613418579,0.591377317905426,0.8437787294387817,0.7218552231788635,0.7939153909683228
618,resnext-saycam(S),138,8,WoodenBasket,Lego,0.635966420173645,0.6288055181503296,0.6928682923316956,0.887793779373169,0.7983849048614502,0.8137381076812744
619,resnext-saycam(S),139,8,WoodenBasket,Pineapple,0.5216434001922607,0.5315077304840088,0.5283483266830444,0.7840468287467957,0.6928433775901794,0.8278074264526367
620,resnext-saycam(S),140,8,WoodenBasket,Robot,0.5640521049499512,0.5688356161117554,0.5879631042480469,0.7703189849853516,0.7092558145523071,0.7830116152763367
621,resnext-saycam(S),141,8,WoodenBasket,RubberDuck,0.6057279109954834,0.602684736251831,0.576335072517395,0.8276199102401733,0.7329724431037903,0.7909815907478333
622,resnext-saycam(S),142,8,WoodenBasket,Teddy,0.5722826719284058,0.6633933186531067,0.6125438809394836,0.720667839050293,0.7008307576179504,0.8358957767486572
623,resnext-saycam(S),143,8,WoodenBasket,Truck,0.6396559476852417,0.6493922472000122,0.5572050213813782,0.8695663809776306,0.7015380859375,0.6920351982116699
624,resnext-saycam(S),144,9,Basket,BeachBall,0.5753698945045471,0.6497324109077454,0.6646184325218201,0.7636114954948425,0.753490149974823,0.8774542808532715
625,resnext-saycam(S),145,9,Basket,Knight,0.6400569677352905,0.6950674057006836,0.6507889032363892,0.8631163239479065,0.7878928780555725,0.8653773665428162
626,resnext-saycam(S),146,9,Basket,Lego,0.6953436136245728,0.7368602156639099,0.7745974063873291,0.894575297832489,0.7805264592170715,0.8972261548042297
627,resnext-saycam(S),147,9,Basket,Pineapple,0.5911034345626831,0.6201171278953552,0.5983743667602539,0.7999650239944458,0.7278231978416443,0.8621247410774231
628,resnext-saycam(S),148,9,Basket,Robot,0.6209476590156555,0.6019976139068604,0.5969590544700623,0.7507706880569458,0.706972599029541,0.7813490033149719
629,resnext-saycam(S),149,9,Basket,RubberDuck,0.592367947101593,0.6635643839836121,0.5912959575653076,0.8109824061393738,0.6810738444328308,0.8356938362121582
630,resnext-saycam(S),150,9,Basket,Teddy,0.6158657073974609,0.715311586856842,0.6574987173080444,0.691382884979248,0.7002370357513428,0.8784622550010681
631,resnext-saycam(S),151,9,Basket,Truck,0.670352041721344,0.706681489944458,0.5537471175193787,0.8723646998405457,0.6963240504264832,0.7164099216461182
632,resnext-saycam(S),152,9,WoodenBasket,BeachBall,0.5894367694854736,0.6277469992637634,0.6341718435287476,0.7153618931770325,0.7647507786750793,0.8127243518829346
633,resnext-saycam(S),153,9,WoodenBasket,Knight,0.6390009522438049,0.6711162328720093,0.635017454624176,0.853213906288147,0.7890446782112122,0.7998324632644653
634,resnext-saycam(S),154,9,WoodenBasket,Lego,0.6931325197219849,0.695461094379425,0.7675929069519043,0.8575230836868286,0.8058629631996155,0.8360624313354492
635,resnext-saycam(S),155,9,WoodenBasket,Pineapple,0.570501983165741,0.5968904495239258,0.5631725192070007,0.762651801109314,0.7200482487678528,0.8246313333511353
636,resnext-saycam(S),156,9,WoodenBasket,Robot,0.6023315191268921,0.6310741901397705,0.602855384349823,0.7128673195838928,0.6870775818824768,0.7853982448577881
637,resnext-saycam(S),157,9,WoodenBasket,RubberDuck,0.5843577980995178,0.6602893471717834,0.5975812673568726,0.7862671613693237,0.7239202260971069,0.8056402206420898
638,resnext-saycam(S),158,9,WoodenBasket,Teddy,0.6049946546554565,0.6942192316055298,0.6010962724685669,0.6963536739349365,0.6977194547653198,0.8127022385597229
639,resnext-saycam(S),159,9,WoodenBasket,Truck,0.6524792909622192,0.6761142015457153,0.5875303745269775,0.854310154914856,0.7181053161621094,0.7026732563972473
640,resnext-imagenet,0,0,Basket,BeachBall,0.8359867930412292,0.8499689698219299,0.8268930912017822,0.8654645085334778,0.8732687830924988,0.8844094276428223
641,resnext-imagenet,1,0,Basket,Knight,0.8566442131996155,0.8422266840934753,0.798554539680481,0.8974493145942688,0.8002182245254517,0.8628509044647217
