,model_name,condition,acc_mean,acc_std,acc_sem,n_target_types,n_habituation_stimuli,same_horizontal_half,seed,n_examples,relation,triplet_generator
74,resnext-saycam(S)-s,random_color,0.787109375,0.4093509614467621,0.012792217545211315,2,1,True,34,1024,no_reference,same_half
75,resnext-saycam(S)-h,different_shapes,0.7158203125,0.45102283358573914,0.014094463549554348,2,1,True,34,1024,no_reference,same_half
76,resnext-saycam(S)-h,split_text,0.7392578125,0.43903952836990356,0.013719985261559486,2,1,True,34,1024,no_reference,same_half
77,resnext-saycam(S)-h,random_color,0.732421875,0.44269636273384094,0.01383426133543253,2,1,True,34,1024,no_reference,same_half
78,resnext-saycam(S)-v,different_shapes,0.94921875,0.2195507138967514,0.006860959809273481,2,1,True,34,1024,no_reference,same_half
79,resnext-saycam(S)-v,split_text,0.892578125,0.30964887142181396,0.009676527231931686,2,1,True,34,1024,no_reference,same_half
80,resnext-saycam(S)-v,random_color,0.9755859375,0.15433086454868317,0.004822839517146349,2,1,True,34,1024,no_reference,same_half
81,resnext-saycam(S)-hv,different_shapes,0.6201171875,0.48535746335983276,0.015167420729994774,2,1,True,34,1024,no_reference,same_half
82,resnext-saycam(S)-hv,split_text,0.6318359375,0.48230621218681335,0.015072069130837917,2,1,True,34,1024,no_reference,same_half
83,resnext-saycam(S)-hv,random_color,0.7763671875,0.4166787564754486,0.013021211139857769,2,1,True,34,1024,no_reference,same_half
84,resnext-DINO-S,different_shapes,0.875,0.33071890473365784,0.010334965772926807,2,1,True,34,1024,no_reference,same_half
85,resnext-DINO-S,split_text,0.8798828125,0.32509851455688477,0.010159328579902649,2,1,True,34,1024,no_reference,same_half
86,resnext-DINO-S,random_color,0.8984375,0.30207210779190063,0.009439753368496895,2,1,True,34,1024,no_reference,same_half
87,resnext-DINO-ImageNet,different_shapes,0.923828125,0.26527291536331177,0.008289778605103493,2,1,True,34,1024,no_reference,same_half
88,resnext-DINO-ImageNet,split_text,0.923828125,0.26527291536331177,0.008289778605103493,2,1,True,34,1024,no_reference,same_half
89,resnext-DINO-ImageNet,random_color,0.90625,0.2914806008338928,0.00910876877605915,2,1,True,34,1024,no_reference,same_half
90,resnext-saycam(S)-s,different_shapes,0.0849609375,0.2788235545158386,0.008713236078619957,2,1,False,34,1024,no_reference,same_half
91,resnext-saycam(S)-s,split_text,0.09765625,0.2968493103981018,0.009276540949940681,2,1,False,34,1024,no_reference,same_half
92,resnext-saycam(S)-s,random_color,0.06640625,0.24899087846279144,0.007780964951962233,2,1,False,34,1024,no_reference,same_half
93,resnext-saycam(S)-h,different_shapes,0.037109375,0.18902981281280518,0.005907181650400162,2,1,False,34,1024,no_reference,same_half
94,resnext-saycam(S)-h,split_text,0.041015625,0.19832634925842285,0.006197698414325714,2,1,False,34,1024,no_reference,same_half
95,resnext-saycam(S)-h,random_color,0.0244140625,0.15433086454868317,0.004822839517146349,2,1,False,34,1024,no_reference,same_half
96,resnext-saycam(S)-v,different_shapes,0.234375,0.42360755801200867,0.01323773618787527,2,1,False,34,1024,no_reference,same_half
97,resnext-saycam(S)-v,split_text,0.2216796875,0.4153766930103302,0.012980521656572819,2,1,False,34,1024,no_reference,same_half
98,resnext-saycam(S)-v,random_color,0.21484375,0.41071391105651855,0.012834809720516205,2,1,False,34,1024,no_reference,same_half
99,resnext-saycam(S)-hv,different_shapes,0.1484375,0.3555331230163574,0.01111041009426117,2,1,False,34,1024,no_reference,same_half
100,resnext-saycam(S)-hv,split_text,0.228515625,0.41987645626068115,0.013121139258146286,2,1,False,34,1024,no_reference,same_half
101,resnext-saycam(S)-hv,random_color,0.1103515625,0.31332746148109436,0.009791483171284199,2,1,False,34,1024,no_reference,same_half
102,resnext-DINO-S,different_shapes,0.07421875,0.26212653517723083,0.008191454224288464,2,1,False,34,1024,no_reference,same_half
103,resnext-DINO-S,split_text,0.05859375,0.2348627746105194,0.0073394617065787315,2,1,False,34,1024,no_reference,same_half
104,resnext-DINO-S,random_color,0.041015625,0.19832634925842285,0.006197698414325714,2,1,False,34,1024,no_reference,same_half
105,resnext-DINO-ImageNet,different_shapes,0.0693359375,0.25402453541755676,0.007938266731798649,2,1,False,34,1024,no_reference,same_half
106,resnext-DINO-ImageNet,split_text,0.07421875,0.26212653517723083,0.008191454224288464,2,1,False,34,1024,no_reference,same_half
107,resnext-DINO-ImageNet,random_color,0.0341796875,0.1816904991865158,0.005677828099578619,2,1,False,34,1024,no_reference,same_half
108,resnext-saycam(S)-s,different_shapes,0.8779296875,0.32736700773239136,0.01023021899163723,2,4,True,34,1024,no_reference,same_half
109,resnext-saycam(S)-s,split_text,0.8994140625,0.30077967047691345,0.009399364702403545,2,4,True,34,1024,no_reference,same_half
110,resnext-saycam(S)-s,random_color,0.9736328125,0.16022472083568573,0.005007022526115179,2,4,True,34,1024,no_reference,same_half
111,resnext-saycam(S)-h,different_shapes,0.8779296875,0.32736700773239136,0.01023021899163723,2,4,True,34,1024,no_reference,same_half
112,resnext-saycam(S)-h,split_text,0.9111328125,0.2845519483089447,0.008892248384654522,2,4,True,34,1024,no_reference,same_half
113,resnext-saycam(S)-h,random_color,0.947265625,0.22350271046161652,0.006984459701925516,2,4,True,34,1024,no_reference,same_half
114,resnext-saycam(S)-v,different_shapes,0.994140625,0.07632196694612503,0.002385061467066407,2,4,True,34,1024,no_reference,same_half
115,resnext-saycam(S)-v,split_text,0.990234375,0.09833747148513794,0.0030730459839105606,2,4,True,34,1024,no_reference,same_half
116,resnext-saycam(S)-v,random_color,1.0,0.0,0.0,2,4,True,34,1024,no_reference,same_half
117,resnext-saycam(S)-hv,different_shapes,0.6796875,0.4665966033935547,0.014581143856048584,2,4,True,34,1024,no_reference,same_half
118,resnext-saycam(S)-hv,split_text,0.7119140625,0.45287132263183594,0.014152228832244873,2,4,True,34,1024,no_reference,same_half
119,resnext-saycam(S)-hv,random_color,0.8642578125,0.34251460433006287,0.010703581385314465,2,4,True,34,1024,no_reference,same_half
120,resnext-DINO-S,different_shapes,0.982421875,0.131412073969841,0.004106627311557531,2,4,True,34,1024,no_reference,same_half
121,resnext-DINO-S,split_text,0.98828125,0.10761701315641403,0.0033630316611379385,2,4,True,34,1024,no_reference,same_half
122,resnext-DINO-S,random_color,0.9951171875,0.06970632076263428,0.002178322523832321,2,4,True,34,1024,no_reference,same_half
123,resnext-DINO-ImageNet,different_shapes,0.994140625,0.07632196694612503,0.002385061467066407,2,4,True,34,1024,no_reference,same_half
124,resnext-DINO-ImageNet,split_text,0.9970703125,0.05404724180698395,0.0016889763064682484,2,4,True,34,1024,no_reference,same_half
125,resnext-DINO-ImageNet,random_color,0.9990234375,0.0312347374856472,0.000976085546426475,2,4,True,34,1024,no_reference,same_half
126,resnext-saycam(S)-s,different_shapes,0.037109375,0.18902981281280518,0.005907181650400162,2,4,False,34,1024,no_reference,same_half
127,resnext-saycam(S)-s,split_text,0.0234375,0.15128840506076813,0.004727762658149004,2,4,False,34,1024,no_reference,same_half
128,resnext-saycam(S)-s,random_color,0.0107421875,0.10308633744716644,0.0032214480452239513,2,4,False,34,1024,no_reference,same_half
129,resnext-saycam(S)-h,different_shapes,0.0,0.0,0.0,2,4,False,34,1024,no_reference,same_half
130,resnext-saycam(S)-h,split_text,0.0,0.0,0.0,2,4,False,34,1024,no_reference,same_half
131,resnext-saycam(S)-h,random_color,0.0,0.0,0.0,2,4,False,34,1024,no_reference,same_half
132,resnext-saycam(S)-v,different_shapes,0.0546875,0.2273692488670349,0.007105289027094841,2,4,False,34,1024,no_reference,same_half
133,resnext-saycam(S)-v,split_text,0.0361328125,0.1866205632686615,0.005831892602145672,2,4,False,34,1024,no_reference,same_half
134,resnext-saycam(S)-v,random_color,0.0087890625,0.09333710372447968,0.00291678449138999,2,4,False,34,1024,no_reference,same_half
135,resnext-saycam(S)-hv,different_shapes,0.0810546875,0.27291908860206604,0.008528721518814564,2,4,False,34,1024,no_reference,same_half
136,resnext-saycam(S)-hv,split_text,0.0458984375,0.2092648297548294,0.006539525929838419,2,4,False,34,1024,no_reference,same_half
137,resnext-saycam(S)-hv,random_color,0.0146484375,0.12014100700616837,0.0037544064689427614,2,4,False,34,1024,no_reference,same_half
138,resnext-DINO-S,different_shapes,0.001953125,0.04415099322795868,0.0013797185383737087,2,4,False,34,1024,no_reference,same_half
139,resnext-DINO-S,split_text,0.0,0.0,0.0,2,4,False,34,1024,no_reference,same_half
140,resnext-DINO-S,random_color,0.0,0.0,0.0,2,4,False,34,1024,no_reference,same_half
141,resnext-DINO-ImageNet,different_shapes,0.0029296875,0.05404724180698395,0.0016889763064682484,2,4,False,34,1024,no_reference,same_half
142,resnext-DINO-ImageNet,split_text,0.0,0.0,0.0,2,4,False,34,1024,no_reference,same_half
143,resnext-DINO-ImageNet,random_color,0.0,0.0,0.0,2,4,False,34,1024,no_reference,same_half
