,model_name,condition,acc_mean,acc_std,acc_sem,n_target_types,n_habituation_stimuli,same_horizontal_half,seed,n_examples,relation,triplet_generator
125,resnext-random,random_color,0.60546875,0.48874977231025696,0.01527343038469553,2,4,True,34,1024,no_reference,same_half
126,mobilenet-saycam(S),different_shapes,0.0,0.0,0.0,2,4,False,34,1024,no_reference,same_half
127,mobilenet-saycam(S),split_text,0.0,0.0,0.0,2,4,False,34,1024,no_reference,same_half
128,mobilenet-saycam(S),random_color,0.01953125,0.13838273286819458,0.004324460402131081,2,4,False,34,1024,no_reference,same_half
129,mobilenet-imagenet,different_shapes,0.0185546875,0.13494595885276794,0.004217061214148998,2,4,False,34,1024,no_reference,same_half
130,mobilenet-imagenet,split_text,0.0634765625,0.24381814897060394,0.007619317155331373,2,4,False,34,1024,no_reference,same_half
131,mobilenet-imagenet,random_color,0.0546875,0.2273692488670349,0.007105289027094841,2,4,False,34,1024,no_reference,same_half
132,mobilenet-random,different_shapes,0.3427734375,0.4746364951133728,0.0148323904722929,2,4,False,34,1024,no_reference,same_half
133,mobilenet-random,split_text,0.3759765625,0.4843740165233612,0.015136688016355038,2,4,False,34,1024,no_reference,same_half
134,mobilenet-random,random_color,0.318359375,0.46583977341651917,0.014557492919266224,2,4,False,34,1024,no_reference,same_half
135,resnext-saycam(S),different_shapes,0.01953125,0.13838273286819458,0.004324460402131081,2,4,False,34,1024,no_reference,same_half
136,resnext-saycam(S),split_text,0.00390625,0.06237781047821045,0.0019493065774440765,2,4,False,34,1024,no_reference,same_half
137,resnext-saycam(S),random_color,0.0,0.0,0.0,2,4,False,34,1024,no_reference,same_half
138,resnext-imagenet,different_shapes,0.0966796875,0.2955211102962494,0.009235034696757793,2,4,False,34,1024,no_reference,same_half
139,resnext-imagenet,split_text,0.0791015625,0.2698972225189209,0.008434288203716278,2,4,False,34,1024,no_reference,same_half
140,resnext-imagenet,random_color,0.009765625,0.09833747148513794,0.0030730459839105606,2,4,False,34,1024,no_reference,same_half
141,resnext-random,different_shapes,0.3173828125,0.4654577970504761,0.014545556157827377,2,4,False,34,1024,no_reference,same_half
142,resnext-random,split_text,0.361328125,0.48038536310195923,0.015012042596936226,2,4,False,34,1024,no_reference,same_half
143,resnext-random,random_color,0.3818359375,0.4858366549015045,0.015182395465672016,2,4,False,34,1024,no_reference,same_half
