original_index,configuration_index,example_index,scene_type,reference_object,target_object,target_pixel_count,reference_pixel_count,target_count_diff,target_count_ratio,reference_count_diff,reference_count_ratio
9315,58,1859,High Containment,Basket,Pineapple,12475,38112,6149,1.9720202339551058,4576,1.1364503816793894
9316,58,1860,High Containment,Basket,PingPong,12003,38584,4708,1.6453735435229608,8179,1.2690018089130077
9317,58,1861,High Containment,Basket,Robot,9042,41545,4046,1.8098478783026422,7915,1.2353553374962831
9318,58,1862,High Containment,Basket,RubberDuck,16819,33768,12748,4.13141734217637,134,1.00398406374502
9319,58,1863,High Containment,Basket,Teddy,22400,28187,12092,2.173069460613116,-3808,0.8809814033442726
9320,58,1864,High Containment,CardboardBoxNoFlaps,BeachBall,13567,52254,7774,2.341964439841188,2581,1.0519598172045175
9321,58,1865,High Containment,CardboardBoxNoFlaps,Knight,7961,58296,2762,1.5312560107713022,7174,1.1403309729666289
9322,58,1866,High Containment,CardboardBoxNoFlaps,Lego,9601,56201,7193,3.987126245847176,5121,1.1002545027407988
9323,58,1867,High Containment,CardboardBoxNoFlaps,Pineapple,7449,58618,3268,1.7816311887108347,7031,1.1362940275650841
9324,58,1868,High Containment,CardboardBoxNoFlaps,PingPong,10006,55796,7334,3.7447604790419162,4853,1.0952633335296311
9325,58,1869,High Containment,CardboardBoxNoFlaps,Robot,6111,59691,2857,1.8779963122311,8296,1.1614164802023543
9326,58,1870,High Containment,CardboardBoxNoFlaps,RubberDuck,7794,58008,5823,3.954337899543379,6284,1.1214909906426418
9327,58,1871,High Containment,CardboardBoxNoFlaps,Teddy,13797,53174,6056,1.7823278646169745,2926,1.058231173380035
9328,58,1872,High Containment,ShortBoxNoFlaps,BeachBall,13570,33997,7776,2.342078011736279,-847,0.9756916542302836
9329,58,1873,High Containment,ShortBoxNoFlaps,Knight,7963,40040,2764,1.5316407001346413,3746,1.1032126522290187
9330,58,1874,High Containment,ShortBoxNoFlaps,Lego,9604,37944,7194,3.9850622406639005,1694,1.0467310344827587
9331,58,1875,High Containment,ShortBoxNoFlaps,Pineapple,7452,40361,3271,1.7823487204018178,3602,1.0979896079871596
9332,58,1876,High Containment,ShortBoxNoFlaps,PingPong,10008,37540,7336,3.745508982035928,1425,1.0394572892150076
9333,58,1877,High Containment,ShortBoxNoFlaps,Robot,6114,41434,2860,1.878918254456054,4867,1.1330981486039324
9334,58,1878,High Containment,ShortBoxNoFlaps,RubberDuck,7798,39750,5825,3.9523568170299037,2856,1.0774109611318914
9335,58,1879,High Containment,ShortBoxNoFlaps,Teddy,13800,34917,6059,1.7827154114455497,-503,0.9857989836250706
9336,58,1880,High Containment,WoodenBasket,BeachBall,20899,35925,11210,2.1569821447001756,3684,1.114264445891877
9337,58,1881,High Containment,WoodenBasket,Knight,12423,44397,5257,1.7336031258721742,8786,1.2467215186318834
9338,58,1882,High Containment,WoodenBasket,Lego,16844,39832,10280,2.566118220597197,6240,1.1857585139318885
9339,58,1883,High Containment,WoodenBasket,Pineapple,12249,44521,6126,2.000489955903969,8372,1.2315970013001742
9340,58,1884,High Containment,WoodenBasket,PingPong,12003,44680,5672,1.8959090191123045,10784,1.318149634175124
9341,58,1885,High Containment,WoodenBasket,Robot,8991,47736,4088,1.8337752396491944,11428,1.31475156990195
9342,58,1886,High Containment,WoodenBasket,RubberDuck,16311,40293,12292,4.058472256780294,4144,1.1146366427840328
9343,58,1887,High Containment,WoodenBasket,Teddy,21941,34942,11933,2.192346123101519,495,1.0143699015879466
9344,58,1856,Behind,Basket,BeachBall,8305,50587,-2028,0.8037356043743347,21192,1.72093893519306
